
Training on cuda | logs -> training_logs/run_seed42_config4 (2)_fresh_20260529_231709
Config: ..\..\configs\config4 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode   147 | Steps:    3804 | Reward:  -3.403 | Avg(100):  -0.068 | Entropy: 0.0981 | Acc: 10.0% (3+ 27-) | Lifetime: 23.1%
Episode   148 | Steps:    3829 | Reward:   2.598 | Avg(100):  -0.085 | Entropy: 0.0981 | Acc: 32.0% (8+ 17-) | Lifetime: 23.2%
Episode   149 | Steps:    3848 | Reward:   0.301 | Avg(100):  -0.075 | Entropy: 0.0980 | Acc: 42.1% (8+ 11-) | Lifetime: 23.3%
Episode   150 | Steps:    3872 | Reward:   1.798 | Avg(100):  -0.058 | Entropy: 0.0980 | Acc: 33.3% (8+ 16-) | Lifetime: 23.3%
Episode   151 | Steps:    3903 | Reward:  -2.002 | Avg(100):  -0.098 | Entropy: 0.0980 | Acc: 19.4% (6+ 25-) | Lifetime: 23.3%
Episode   152 | Steps:    3930 | Reward:  -4.100 | Avg(100):  -0.179 | Entropy: 0.0980 | Acc: 14.8% (4+ 23-) | Lifetime: 23.2%
Episode   153 | Steps:    3961 | Reward:  -0.803 | Avg(100):  -0.213 | Entropy: 0.0980 | Acc: 22.6% (7+ 24-) | Lifetime: 23.2%
Episode   154 | Steps:    3983 | Reward:   0.700 | Avg(100):  -0.169 | Entropy: 0.0980 | Acc: 36.4% (8+ 14-) | Lifetime: 23.3%
  [Step 4000] Action dist: A0:14% | A1:12% | A2:32% | A3:25% | A4:17%
Episode   155 | Steps:    4008 | Reward:  -0.602 | Avg(100):  -0.184 | Entropy: 0.0980 | Acc: 28.0% (7+ 18-) | Lifetime: 23.3%
Episode   156 | Steps:    4037 | Reward:  -0.401 | Avg(100):  -0.177 | Entropy: 0.0980 | Acc: 24.1% (7+ 22-) | Lifetime: 23.3%
Episode   157 | Steps:    4052 | Reward:   3.100 | Avg(100):  -0.142 | Entropy: 0.0980 | Acc: 53.3% (8+ 7-) | Lifetime: 23.5%
Episode   158 | Steps:    4079 | Reward:  -2.803 | Avg(100):  -0.172 | Entropy: 0.0980 | Acc: 11.1% (3+ 24-) | Lifetime: 23.4%
